filename,title,source_url,direct_url,license,artist,description,sha256
commons_2793050_HongKongStationplatform1_20070922.jpg,File:HongKongStationplatform1 20070922.jpg,https://commons.wikimedia.org/wiki/File%3AHongKongStationplatform1_20070922.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/HongKongStationplatform1_20070922.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:WiNG"" title=""User:WiNG"">WiNG</a>",HK MTR Hong Kong Station platform,4a125ca1176ed939ad18b4209d3f77aecd4f10a1370d42669613979e8050e68d
commons_5554713_Kingsland_Train_Station_Photos_II.jpg,File:Kingsland Train Station Photos II.jpg,https://commons.wikimedia.org/wiki/File%3AKingsland_Train_Station_Photos_II.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Kingsland_Train_Station_Photos_II.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>","<a href=""https://en.wikipedia.org/wiki/Kingsland_Train_Station"" class=""extiw"" title=""en:Kingsland Train Station"">Kingsland Train Station</a> in <a href=""https://en.wikipedia.org/wiki/Auckland_City"" class=""extiw"" title=""en:Auckland City"">Auckland City</a>, <a href=""https://en.wikipedia.org/wiki/New_Zealand"" class=""extiw"" title=""en:New Zealand"">New Zealand</a>. Looking eastwards from the pedestrian overbridge.",a852f77e78c9fc061d49d6c7f0b72459a2e309c2a7d664c107cbc5bfddf3efb0
commons_5554790_Kingsland_Train_Station_Photos_I.jpg,File:Kingsland Train Station Photos I.jpg,https://commons.wikimedia.org/wiki/File%3AKingsland_Train_Station_Photos_I.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Kingsland_Train_Station_Photos_I.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>","<a href=""https://en.wikipedia.org/wiki/Kingsland_Train_Station"" class=""extiw"" title=""en:Kingsland Train Station"">Kingsland Train Station</a> in <a href=""https://en.wikipedia.org/wiki/Auckland_City"" class=""extiw"" title=""en:Auckland City"">Auckland City</a>, <a href=""https://en.wikipedia.org/wiki/New_Zealand"" class=""extiw"" title=""en:New Zealand"">New Zealand</a>. Looking eastward towards the pedestrian overbridge.",742e286d394292b2f0a8a5ef6656417523f38606068a8c12a03bd1331f51af4c
commons_5577600_DC4444atNewLynn.jpg,File:DC4444atNewLynn.jpg,https://commons.wikimedia.org/wiki/File%3ADC4444atNewLynn.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/DC4444atNewLynn.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:C.R.Auckland&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:C.R.Auckland (page does not exist)"">C.R.Auckland</a>","DC 4444 at the temporary New Lynn platform, heading east towards Auckland. Note the very non-standard large '4444' numbering.",e050b8af57c176a1857046dd6f6e5c366fc1d068b600ec68d6ca66b46a2d2bcf
commons_10004207_Grafton_station.jpg,File:Grafton station.jpg,https://commons.wikimedia.org/wiki/File%3AGrafton_station.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Grafton_station.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Pcuser42"" title=""User:Pcuser42"">Pcuser42</a>",Overview of Grafton station,189cf1409c27465beb44bfecee939d04da3fd4c0a4786e56d8f6994113a0f0f1
commons_11548638_ADL_807_at_Onehunga.jpg,File:ADL 807 at Onehunga.JPG,https://commons.wikimedia.org/wiki/File%3AADL_807_at_Onehunga.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/ADL_807_at_Onehunga.JPG/1920px-ADL_807_at_Onehunga.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Pcuser42"" title=""User:Pcuser42"">Pcuser42</a>",ADL 807 at the new Onehunga railway station on the first day of services,352723a0ca5af937713a3a7661cd4c24a8138f5c8f03c57b85763f4cc81158e2
commons_12357929_Paris_-_Gare_de_l_Est_-_20101105_1.jpg,File:Paris - Gare de l'Est - 20101105 (1).jpg,https://commons.wikimedia.org/wiki/File%3AParis_-_Gare_de_l%27Est_-_20101105_%281%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/Paris_-_Gare_de_l%27Est_-_20101105_%281%29.jpg/1920px-Paris_-_Gare_de_l%27Est_-_20101105_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Olybrius"" title=""User:Olybrius"">Olybrius</a>","<a href=""//commons.wikimedia.org/wiki/Tactile_paving"" class=""mw-redirect"" title=""Tactile paving"">Tactile paving</a> in a <a href=""//commons.wikimedia.org/wiki/Train_station"" class=""mw-redirect"" title=""Train station"">train station</a> (<a href=""//commons.wikimedia.org/wiki/Gare_de_Paris-Est"" title=""Gare de Paris-Est"">Gare de Paris-Est</a>, <a href=""//commons.wikimedia.org/wiki/Paris"" title=""Paris"">Paris</a>, France).",6cd609622bbc1ef9b38031586a211c6a711aaaa60b7cab7848018d31ac373021
commons_12811471_Grafton_Train_Station_Finally_Finished_I.jpg,"File:Grafton Train Station, Finally Finished I.jpg",https://commons.wikimedia.org/wiki/File%3AGrafton_Train_Station%2C_Finally_Finished_I.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Grafton_Train_Station%2C_Finally_Finished_I.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>","Looking eastwards at the new, finished <a href=""https://en.wikipedia.org/wiki/Grafton_Train_Station"" class=""extiw"" title=""en:Grafton Train Station"">Grafton Train Station</a> in <a href=""https://en.wikipedia.org/wiki/Auckland_City"" class=""extiw"" title=""en:Auckland City"">Auckland City</a>, <a href=""https://en.wikipedia.org/wiki/New_Zealand"" class=""extiw"" title=""en:New Zealand"">New Zealand</a>. Park Road Bridge in the distance.",bfd3bb8be9f5140c431d6d63a403761f54e5c9d3ee8b1bb0e9469a30ab120459
commons_14571980_Middlemore_Train_Station_Platforms.jpg,File:Middlemore Train Station Platforms.jpg,https://commons.wikimedia.org/wiki/File%3AMiddlemore_Train_Station_Platforms.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Middlemore_Train_Station_Platforms.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>","Looking southeast from the <a href=""https://en.wikipedia.org/wiki/Middlemore_Train_Station"" class=""extiw"" title=""en:Middlemore Train Station"">Middlemore Train Station</a> in <a href=""https://en.wikipedia.org/wiki/Auckland"" class=""extiw"" title=""en:Auckland"">Auckland</a>, <a href=""https://en.wikipedia.org/wiki/New_Zealand"" class=""extiw"" title=""en:New Zealand"">New Zealand</a>. A part of <a href=""https://en.wikipedia.org/wiki/Middlemore_Hospital"" class=""extiw"" title=""en:Middlemore Hospital"">Middlemore Hospital</a> is visible to the left.",3af52987c95ffb14f9109662f23cec710eb19bd5644032f506f5fca6bffe9484
commons_14572036_Middlemore_Train_Station_Shelters.jpg,File:Middlemore Train Station Shelters.jpg,https://commons.wikimedia.org/wiki/File%3AMiddlemore_Train_Station_Shelters.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/Middlemore_Train_Station_Shelters.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>","Looking northwest at the <a href=""https://en.wikipedia.org/wiki/Middlemore_Train_Station"" class=""extiw"" title=""en:Middlemore Train Station"">Middlemore Train Station</a> in <a href=""https://en.wikipedia.org/wiki/Auckland"" class=""extiw"" title=""en:Auckland"">Auckland</a>, <a href=""https://en.wikipedia.org/wiki/New_Zealand"" class=""extiw"" title=""en:New Zealand"">New Zealand</a>.",fcbc2aa6bc607e44a85fa664e475db4a79a251b4d8d1674f1d904af230b7413d
