source_path,session_id,location_id,location_type,source_name,usage_permission,device_model,camera_position,lighting,motion,surface,dataset_task,notes
commons_10004207_Grafton_station.jpg,commons_10004207,commons_10004207,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_11548638_ADL_807_at_Onehunga.jpg,commons_11548638,commons_11548638,station_platform,Wikimedia Commons,CC BY 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_12357929_Paris_-_Gare_de_l_Est_-_20101105_1.jpg,commons_12357929,commons_12357929,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_12811471_Grafton_Train_Station_Finally_Finished_I.jpg,commons_12811471,commons_12811471,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_14571980_Middlemore_Train_Station_Platforms.jpg,commons_14571980,commons_14571980,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_14572036_Middlemore_Train_Station_Shelters.jpg,commons_14572036,commons_14572036,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_14703064_Newmarket_Train_Station_Is_Finished_II.jpg,commons_14703064,commons_14703064,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_14874418_Panmure_Train_Station_Trenching.jpg,commons_14874418,commons_14874418,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_15282574_Cityrail_Tactile_Platform_Line.jpg,commons_15282574,commons_15282574,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_17952932_KiwiRail_Locomotive_At_Britomart.jpg,commons_17952932,commons_17952932,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_19170842_Manukau_Station.jpg,commons_19170842,commons_19170842,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_19822898_Paris_Est_caddie_sur_un_quai.jpg,commons_19822898,commons_19822898,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_20765001_Platform_end_marker.jpg,commons_20765001,commons_20765001,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_21583331_Est_Ing_Castello_Anden.jpg,commons_21583331,commons_21583331,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_23215780_Arden_-_Del_Paso_4043_02.jpg,commons_23215780,commons_23215780,station_platform,Wikimedia Commons,CC0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_2793050_HongKongStationplatform1_20070922.jpg,commons_2793050,commons_2793050,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_28917160_PieveemanueleFS_4.jpg,commons_28917160,commons_28917160,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_5554713_Kingsland_Train_Station_Photos_II.jpg,commons_5554713,commons_5554713,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_5554790_Kingsland_Train_Station_Photos_I.jpg,commons_5554790,commons_5554790,station_platform,Wikimedia Commons,Public domain; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
commons_5577600_DC4444atNewLynn.jpg,commons_5577600,commons_5577600,station_platform,Wikimedia Commons,CC BY-SA 3.0; source and attribution recorded in sources.csv,unknown_public_camera,unknown,unknown,unknown,station_platform,tactile,Provisional LabelMe seed; human review required before training.
