source_path,session_id,location_id,location_type,source_name,usage_permission,device_model,camera_position,lighting,motion,surface,dataset_task,notes
commons_2793050_HongKongStationplatform1_20070922.jpg,published_001,station_source_001,station_platform,wikimedia_commons,CC BY-SA 3.0; https://commons.wikimedia.org/wiki/File%3AHongKongStationplatform1_20070922.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:HongKongStationplatform1 20070922.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:WiNG"" title=""User:WiNG"">WiNG</a>"
commons_5554713_Kingsland_Train_Station_Photos_II.jpg,published_002,station_source_002,station_track_area,wikimedia_commons,Public domain; https://commons.wikimedia.org/wiki/File%3AKingsland_Train_Station_Photos_II.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Kingsland Train Station Photos II.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>"
commons_5554790_Kingsland_Train_Station_Photos_I.jpg,published_003,station_source_003,station_track_area,wikimedia_commons,Public domain; https://commons.wikimedia.org/wiki/File%3AKingsland_Train_Station_Photos_I.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Kingsland Train Station Photos I.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>"
commons_5577600_DC4444atNewLynn.jpg,published_004,station_source_004,station_track_area,wikimedia_commons,CC BY-SA 3.0; https://commons.wikimedia.org/wiki/File%3ADC4444atNewLynn.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:DC4444atNewLynn.jpg; artist=<a href=""//commons.wikimedia.org/w/index.php?title=User:C.R.Auckland&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:C.R.Auckland (page does not exist)"">C.R.Auckland</a>"
commons_10004207_Grafton_station.jpg,published_005,station_source_005,station_track_area,wikimedia_commons,CC BY-SA 3.0; https://commons.wikimedia.org/wiki/File%3AGrafton_station.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Grafton station.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Pcuser42"" title=""User:Pcuser42"">Pcuser42</a>"
commons_11548638_ADL_807_at_Onehunga.jpg,published_006,station_source_006,station_track_area,wikimedia_commons,CC BY 3.0; https://commons.wikimedia.org/wiki/File%3AADL_807_at_Onehunga.JPG,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:ADL 807 at Onehunga.JPG; artist=<a href=""//commons.wikimedia.org/wiki/User:Pcuser42"" title=""User:Pcuser42"">Pcuser42</a>"
commons_12357929_Paris_-_Gare_de_l_Est_-_20101105_1.jpg,published_007,station_source_007,station_track_area,wikimedia_commons,CC BY-SA 3.0; https://commons.wikimedia.org/wiki/File%3AParis_-_Gare_de_l%27Est_-_20101105_%281%29.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Paris - Gare de l'Est - 20101105 (1).jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Olybrius"" title=""User:Olybrius"">Olybrius</a>"
commons_12811471_Grafton_Train_Station_Finally_Finished_I.jpg,published_008,station_source_008,station_track_area,wikimedia_commons,Public domain; https://commons.wikimedia.org/wiki/File%3AGrafton_Train_Station%2C_Finally_Finished_I.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Grafton Train Station, Finally Finished I.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>"
commons_14571980_Middlemore_Train_Station_Platforms.jpg,published_009,station_source_009,station_platform,wikimedia_commons,Public domain; https://commons.wikimedia.org/wiki/File%3AMiddlemore_Train_Station_Platforms.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Middlemore Train Station Platforms.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>"
commons_14572036_Middlemore_Train_Station_Shelters.jpg,published_010,station_source_010,station_track_area,wikimedia_commons,Public domain; https://commons.wikimedia.org/wiki/File%3AMiddlemore_Train_Station_Shelters.jpg,unknown_published_image,varied_published_photo,normal_or_unknown,static_photo,mixed,tactile,"File:Middlemore Train Station Shelters.jpg; artist=<a href=""//commons.wikimedia.org/wiki/User:Ingolfson"" title=""User:Ingolfson"">Ingolfson</a>"
