sample_id,source_sha256,annotation_sha256,review_status,reviewer,reviewed_at,notes
189cf1409c27465beb44bfecee939d04da3fd4c0a4786e56d8f6994113a0f0f1,189cf1409c27465beb44bfecee939d04da3fd4c0a4786e56d8f6994113a0f0f1,53f8fe543971be21403a52f49e36c2349543ac2274c05dfe426c9607bacaca49,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
229c484660165220b25747206ca7546dcd241862cc7be29c6affcdbd0cef645f,229c484660165220b25747206ca7546dcd241862cc7be29c6affcdbd0cef645f,31c0408aaba255c1bc8a566d086fe52fbaf9be5d208cb94382b123c06ce9c08e,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
2fae9b34c081d079ecf600f9de89366b9a821758c1cd43f88d2c12997c97b2c4,2fae9b34c081d079ecf600f9de89366b9a821758c1cd43f88d2c12997c97b2c4,5a11ebd9bf2622c03f36b12aa3d5c0f28f1f3df4d0973a0f3e26cbc004dc9e46,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
352723a0ca5af937713a3a7661cd4c24a8138f5c8f03c57b85763f4cc81158e2,352723a0ca5af937713a3a7661cd4c24a8138f5c8f03c57b85763f4cc81158e2,b2957ead3703ddc9147b2f1177e9d7c99f0ef33b7428e0c32e47f776d95f4383,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
3af52987c95ffb14f9109662f23cec710eb19bd5644032f506f5fca6bffe9484,3af52987c95ffb14f9109662f23cec710eb19bd5644032f506f5fca6bffe9484,2ea657c95ee4fb14d4a5e47a9879624aa6388157755fb2a71e7ed2ab661f901b,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
49bdca6539d137006903ac858c40014a8ffa23531652ee525498e52009423627,49bdca6539d137006903ac858c40014a8ffa23531652ee525498e52009423627,df3f15d7745c8ada81fc15d441e1bb6528a46570edbf0cfc057c942605796c79,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
4a125ca1176ed939ad18b4209d3f77aecd4f10a1370d42669613979e8050e68d,4a125ca1176ed939ad18b4209d3f77aecd4f10a1370d42669613979e8050e68d,90901c3573fc12361252039f1e5c7845ba475d172630fcbf3f1a849b70ff7ddf,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
57f1e87bba3b1a8e2a9e1e00ab8be4b411ee5afd260467a5ecd25fe6fc2fde41,57f1e87bba3b1a8e2a9e1e00ab8be4b411ee5afd260467a5ecd25fe6fc2fde41,983c72fcf2174956ec6d81b776cec7b918467a88c8a7c90669cce5dfdfd5731e,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
6cd609622bbc1ef9b38031586a211c6a711aaaa60b7cab7848018d31ac373021,6cd609622bbc1ef9b38031586a211c6a711aaaa60b7cab7848018d31ac373021,31747af6bef1e928dec8c2b697cb8f5d85b401d1c30c8df9fd49c38718a88c78,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
742e286d394292b2f0a8a5ef6656417523f38606068a8c12a03bd1331f51af4c,742e286d394292b2f0a8a5ef6656417523f38606068a8c12a03bd1331f51af4c,1065da1bf75ad1f157b11d54539f041b610a87faaf01ad078f7b81f9d70c15d5,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
a852f77e78c9fc061d49d6c7f0b72459a2e309c2a7d664c107cbc5bfddf3efb0,a852f77e78c9fc061d49d6c7f0b72459a2e309c2a7d664c107cbc5bfddf3efb0,1052811b35bb6622996d9134a08e2d8f3d9dd8cb541ecf33a7b03ec031b60c63,human_reviewed,Riyadh,2026-09-09T11:38:19+07:00,Reviewed and corrected in LabelMe; trolley photo excluded.
